DateTime,CLOSE
2010/1/4,1004.511256
2010/1/5,1015.257167
2010/1/6,1021.751589
2010/1/7,1014.420721
2010/1/8,1016.405749
2010/1/11,1028.07004
2010/1/12,1021.179769
2010/1/13,1012.094783
2010/1/14,1013.291533
2010/1/15,1010.774906
2010/1/18,1012.547852
2010/1/19,1013.412227
2010/1/20,997.492286
2010/1/21,981.165422
2010/1/22,963.851954
2010/1/25,959.05876
2010/1/26,938.062397
2010/1/27,928.705574
2010/1/28,940.074425
2010/1/29,933.589677
2010/2/1,934.222947
2010/2/2,940.431039
2010/2/3,952.256711
2010/2/4,926.413529
2010/2/5,897.699791
2010/2/8,894.071739
2010/2/9,908.66642
2010/2/10,912.492674
2010/2/11,922.908297
2010/2/12,921.748819
2010/2/22,943.298787
2010/2/23,940.209496
2010/2/24,933.226585
2010/2/25,922.927775
2010/2/26,935.92941
2010/3/1,947.895298
2010/3/2,959.661933
2010/3/3,966.434487
2010/3/4,961.340622
2010/3/5,974.922581
2010/3/8,986.079501
2010/3/9,986.152943
2010/3/10,993.442816
2010/3/11,989.831583
2010/3/12,992.680657
2010/3/15,983.036253
2010/3/16,991.483196
2010/3/17,1005.765827
2010/3/18,1001.507499
2010/3/19,997.940462
2010/3/22,989.925886
2010/3/23,994.116175
2010/3/24,992.002346
2010/3/25,989.952149
2010/3/26,993.07835
2010/3/29,1003.666032
2010/3/30,1009.330982
2010/3/31,1010.333899
2010/4/1,1027.274011
2010/4/2,1028.537529
2010/4/6,1039.265631
2010/4/7,1042.988162
2010/4/8,1036.311402
2010/4/9,1043.99727
2010/4/12,1041.376696
2010/4/13,1033.80644
2010/4/14,1046.443869
2010/4/15,1047.513338
2010/4/16,1032.083182
2010/4/19,1011.290081
2010/4/20,1022.862616
2010/4/21,1026.891193
2010/4/22,1020.67401
2010/4/23,1024.070611
2010/4/26,1035.216185
2010/4/27,1020.236199
2010/4/28,1005.270714
2010/4/29,1014.080985
2010/4/30,1020.033087
2010/5/4,990.641674
2010/5/5,970.244009
2010/5/6,948.535458
2010/5/7,927.037424
2010/5/10,967.228887
2010/5/11,958.826706
2010/5/12,968.004236
2010/5/13,975.562772
2010/5/14,959.814938
2010/5/17,939.739557
2010/5/18,939.77526
2010/5/19,910.54963
2010/5/20,882.420484
2010/5/21,886.657404
2010/5/24,891.499245
2010/5/25,855.52341
2010/5/26,883.18146
2010/5/27,904.181511
2010/5/28,917.046586
2010/5/31,926.403979
